Date,Year,Name,NestName,ID,FieldAge,HatchDateJul,HatchDateJulYear,AllSex,CalcAge,BNT,BW,BD,TEC,Head,UB,UBS,TBS,Skull,Tarsus,Weight,MaxC1_11,MaxC12_22,MaxCIncubation,MinC1_11,MinC12_22,MinCIncubation,GDD10CSum1_11,GDD10CSum12_22,GDD10CSumIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSumIncubation,MaxC6_19,MinC6_19,GDD10CSum6_19,PrecipSum6_19,MaxC8_22,MinC8_22,GDD10CSum8_22,PrecipSum8_22,UBSWeightRatio
4/28/1992,1992,GL,WILO92,GL WILO92,28,119,1992119,,28,19.7,11.8,11.6,31.3,69.8,11.6,134.56,183.105,38.5,55.4,227,15.65656566,20.75757576,12.57309942,2.525252525,8.484848485,2.105263158,-10,50.83333333,-50.55555556,2.4638,1.7018,7.8994,18.96825397,6.071428571,35.27777778,3.0226,18.77777778,6.666666667,40.83333333,2.0828,0.59277533
4/19/2005,2005,JN,HAWA05,JN HAWA05,24,109,2005109,F,24.6,18.9,12.5,11.8,29.6,69.4,10.7,126.26,179.82,39.8,56.2,230,16.21212121,13.98989899,14.41520468,2.222222222,1.868686869,0.116959064,-8.611111111,-22.77777778,-51.94444444,3.81,0.6858,7.7724,12.65873016,1.825396825,-38.61111111,2.9972,14.11111111,2.259259259,-27.22222222,0.889,0.548956522
4/25/2013,2013,7S,CWAR13,7S CWAR13,26,115,2013115,M,25,19.1,12.2,11.6,32.5,70.2,13.4,155.4,193.4,37.7,51.5,230,19.04040404,19.09090909,13.42105263,5.151515152,6.262626263,2.397660819,23.05555556,29.44444444,-39.72222222,0.889,1.397,6.2484,20.43650794,7.5,55.55555556,1.3462,20.18518519,6.37037037,49.16666667,1.397,0.675652174
5/13/1996,1996,SK,WCEM96,SK WCEM96,28,134,1996134,,25.6,19.6,11.6,11.1,31.1,71.3,11.5,127.65,176.4925,40.2,51.4,232,20.60606061,18.78787879,14.79532164,8.232323232,6.212121212,3.742690058,48.61111111,27.5,-13.88888889,3.0734,0.3048,13.2842,21.19047619,8.373015873,66.94444444,3.3528,21.07407407,7.777777778,66.38888889,2.8956,0.550215517
5/8/1991,1991,YX,PAHA91,YX PAHA91,26,128,1991128,,24.1,19.2,12.6,11.2,30.6,68,11.4,127.68,182.07,37.4,51.4,235,23.13131313,26.11111111,16.19883041,8.434343434,12.72727273,4.561403509,63.61111111,103.6111111,7.222222222,2.5654,0.0762,6.6802,26.58730159,11.26984127,125,2.159,26.66666667,12.11111111,140.8333333,2.2098,0.543319149
5/4/1991,1991,WZ,WINT91,WZ WINT91,25,124,1991124,,25,20.8,13.2,11.7,32.6,71,11.8,138.06,202.935,38.4,55.3,235,18.68686869,26.16161616,15.38011696,5.909090909,10.80808081,4.18128655,25.27777778,93.33333333,-4.166666667,1.397,2.1336,5.8674,23.45238095,8.214285714,81.66666667,2.5654,25.88888889,10.37037037,121.9444444,2.159,0.587489362
4/23/1996,1996,MR,FAEL96,MR FAEL96,28,114,1996114,,25.8,20.3,11.6,11.4,34,71.7,13.7,156.18,195.5,37.7,52.4,235,15.80808081,14.34343434,10.67251462,2.828282828,3.888888889,0.029239766,-7.5,-9.722222222,-88.33333333,5.1054,9.9314,8.1534,15.47619048,4.563492063,0.277777778,7.8486,14.96296296,3.962962963,-8.055555556,12.1666,0.664595745
5/5/1990,1990,PJ,CEME90,PJ CEME90,24,125,1990125,,24,20.4,12,11,30.7,69.3,10.3,113.3,176.525,38.6,53.5,237,17.07070707,17.27272727,19.35672515,6.161616162,7.97979798,6.081871345,17.77777778,28.88888889,51.66666667,5.5372,4.9022,4.2418,17.02380952,7.698412698,33.05555556,7.6962,16.62962963,6.962962963,26.94444444,6.6548,0.478059072
5/17/1999,1999,X9,JOHN99,X9 JOHN99,25,137,1999137,M,24.9,19.4,13.4,12.1,31.2,70.9,11.8,142.78,198.9,39.7,54.3,238,20.60606061,26.26262626,20.29239766,9.444444444,11.16161616,5.409356725,55.27777778,95.83333333,54.16666667,1.2192,0.2032,0.8382,23.49206349,10.5952381,98.61111111,1.1938,23.96296296,10.85185185,111.1111111,1.1938,0.599915966
5/13/1993,1993,N_A,LIBE93,NA LIBE93,25,133,1993133,,24.6,19.7,13.1,12,32.5,69.9,12.8,153.6,203.9375,37.4,55.8,245,17.57575758,19.39393939,21.43274854,3.98989899,6.919191919,5.906432749,8.611111111,34.72222222,69.72222222,1.6764,1.524,3.683,18.49206349,6.071428571,31.94444444,1.8796,18.40740741,5.888888889,32.22222222,2.54,0.626938776
