"","id","lifeStage","billW"
"366","HD GENR94","nestling",8.7
"367","OQ STAD08","nestling",8.7
"368","SJ CEME97","nestling",8.7
"369","T4 EPLN99","nestling",8.7
"370","W5 BROT98","nestling",8.7
"371","XO KAYS09","nestling",8.7
"372","ZA WIGE08","nestling",8.7
"373","2 WILG09","nestling",8.8
"374","2 WILG09","nestling",8.8
"375","2B LISH93","nestling",8.8
"376","4p SLOP08","nestling",8.8
"377","5-a HABL99","nestling",8.8
"378","E3 HASH00","nestling",8.8
"379","F4 MAR200","nestling",8.8
"380","KH PIGS92","nestling",8.8
"381","MY ALOT94","nestling",8.8
"382","O HIHI92","nestling",8.8
"383","P5 CASA94","nestling",8.8
"384","PW HART94","nestling",8.8
"385","QV HART94","nestling",8.8
"386","RU HART94","nestling",8.8
"387","silv CEME91","nestling",8.8
"388","V9 HAW200","nestling",8.8
"389","W PWOD92","nestling",8.8
"390","white STRM91","nestling",8.8
"391","YB WIGE08","nestling",8.8
"392","47 NET104","adult",16.2
"393","9R NET106","adult",16.2
"394","0G MNDY01","adult",16.3
"395","8M MART02","adult",16.3
"396","MI SWEG91","nestling",16.4
"397","Y3 NET401","adult",16.4
"398","9I NET601","adult",16.5
"399","blac SECE91","nestling",16.5
"400","DR TRCH91","nestling",16.6
"401","NM STAT90","nestling",16.7
"402","WJ NET107","adult",16.8
"403","GO GENR91","nestling",17
"404","ZL WEGO94","adult",17.2
"405","UB WPAR91","nestling",17.4
"406","6F NET601","adult",17.7
"407","OT BIRC07","nestling",18.4
"408","4 PINW00","nestling",71.7
"409","BX WKAY04","nestling",112.6
