Month,ID,CalcAge,HatchDateJulYear,AllSex,BillDepth,BillWidth,BillNT,TEC,UB,UBS,TBS,Skull,Tarsus,Weight,MaxTempMean1_11,MaxTempMean12_22,MeanMaxTempIncubation,MinTempMean1_11,MinTempMean12_22,MeanMinTempIncubation,GDDSum1_11,GDDSum12_22,GDDSumIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSumIncubation
5,M8 EDB299,26,1999125,F,13.2,14.5,23.7,36.7,13,171.6,254.1475,42.5,60.9,410,19.8989899,21.56565657,14.59064327,6.868686869,9.444444444,0.584795322,77,111,29,0.8382,0.9398,2.8956
5,T5 MANN99,25.2,1999128,F,11.4,11.8,19.9,29.7,9.8,111.72,172.26,39.5,51.4,260,19.7979798,20.70707071,16.75438596,6.161616162,8.585858586,2.602339181,70,94,78,0.8382,1.2192,1.905
5,W8 BLAC99,25.9,1999131,F,12.3,12.2,22.4,34.1,11.7,143.91,208.8625,41.4,59.1,290,20.2020202,22.97979798,17.69005848,5.303030303,9.646464646,3.684210526,65,127,92,0.2286,0.9906,2.7178
4,N1 HANS00,27.5,2000117,F,12.2,12.7,22.7,36.2,13.5,164.7,225.345,40.2,60.5,372,17.37373737,23.48484848,10.78947368,3.98989899,10.1010101,1.111111111,50,140,17,1.4478,6.9596,7.4676
5,U8 HAW200,27,2000124,F,13.8,13.8,24.1,38,13.9,191.82,262.2,43.2,63.9,439,24.09090909,17.77777778,13.1871345,11.46464646,7.323232323,2.748538012,162,60,26,6.4516,4.9022,5.6896
4,4B KNOL01,26.2,2001107,F,11.7,12.4,21.8,35.6,13.8,161.46,214.49,38.2,56.9,315,16.16161616,22.22222222,11.22807018,2.676767677,4.696969697,0.906432749,49,93,17,0.5334,0.0508,4.1402
4,5C KNOL01,27,2001107,F,12.7,11.9,22.6,35.1,12.5,158.75,215.865,39.9,55.4,319,16.16161616,22.22222222,11.22807018,2.676767677,4.696969697,0.906432749,49,93,17,0.5334,0.0508,4.1402
4,6D KNOL01,26.5,2001107,F,12.1,12.4,21.5,33.6,12.1,146.41,205.8,39.3,55.1,320,16.16161616,22.22222222,11.22807018,2.676767677,4.696969697,0.906432749,49,93,17,0.5334,0.0508,4.1402
4,0H EOCR01,26.2,2001108,F,13,12.3,22.1,35.3,13.2,171.6,223.2725,40.2,60.4,415,16.66666667,22.67676768,11.22807018,2.525252525,5.555555556,0.789473684,49,105,17,0.5334,0.2286,2.0828
4,1I EOCR01,25.9,2001108,F,13.6,12.1,23.3,34.5,11.2,152.32,221.6625,42,61.1,395,16.66666667,22.67676768,11.22807018,2.525252525,5.555555556,0.789473684,49,105,17,0.5334,0.2286,2.0828
4,7E EOCR01,26,2001108,F,13.7,12.7,23.9,36,12.1,165.77,237.6,41.2,59.8,410,16.66666667,22.67676768,11.22807018,2.525252525,5.555555556,0.789473684,49,105,17,0.5334,0.2286,2.0828
4,8F EOCR01,25.9,2001108,F,12.8,12.2,23,33.9,10.9,139.52,211.875,41.7,59.5,392,16.66666667,22.67676768,11.22807018,2.525252525,5.555555556,0.789473684,49,105,17,0.5334,0.2286,2.0828
4,9G EOCR01,25.7,2001108,F,13.1,12.5,23.8,36,12.2,159.82,230.4,40.6,60,395,16.66666667,22.67676768,11.22807018,2.525252525,5.555555556,0.789473684,49,105,17,0.5334,0.2286,2.0828
4,7O LRIS01,27,2001108,F,13.3,12.7,22.7,34.6,11.9,158.27,224.9,41.1,63.1,363,16.66666667,22.67676768,11.22807018,2.525252525,5.555555556,0.789473684,49,105,17,0.5334,0.2286,2.0828
