name,id,nestName,sex,Field Sex
GQ,GQ WCRI15,WCRI15,,
HP,HP WCRI15,WCRI15,,
IO,IO WCRI15,WCRI15,,
JN,JN FAIR15,FAIR15,,
KM,KM FAIR15,FAIR15,,
LL,LL YFER15,YFER15,,
MK,MK YFER15,YFER15,,
OI,OI YFER15,YFER15,,
QG,QG PALM15,PALM15,,
RF,RF PALM15,PALM15,,
UC,UC PALM15,PALM15,,
VB,VB PALM15,PALM15,,
WA,WA PALM15,PALM15,,
XZ,XZ PALM15,PALM15,,
ZX,ZX LANG15,LANG15,,
AV,AV LANG15,LANG15,,
BU,BU LANG15,LANG15,,
DS,DS LANG15,LANG15,,
ER,ER DWEL15,DWEL15,,
FQ,FQ DWEL15,DWEL15,,
GP,GP DWEL15,DWEL15,,
JM,JM YLBA15,YLBA15,,
KL,KL YLBA15,YLBA15,,
LK,LK YLBA15,YLBA15,,
MJ,MJ YLBA15,YLBA15,,
NI,NI YESR15,YESR15,,
QF,QF YESR15,YESR15,,
1-b,1-b DOGS15,DOGS15,,
2-w,2-w DOGS15,DOGS15,,
3-o,3-o DOGS15,DOGS15,,
4-p,4-p DOGS15,DOGS15,,
SD,SD NDYC15,NDYC15,,
ls,ls NDYC15,NDYC15,,
OS-BA,OS-BA NDYC15,NDYC15,,
UB,UB CWAR15,CWAR15,,
RS-WA,RS-WA BIRN15,BIRN15,,
AS-WA,AS-WA BIRN15,BIRN15,,
WZ,WZ SMU215,SMU215,,
CR,CR NMUR16,NMUR16,M,M
DQ,DQ NMUR16,NMUR16,,
EP,EP NMUR16,NMUR16,F,F
FO,FO CHAF16,CHAF16,,
GN,GN CHAF16,CHAF16,,
HM,HM CHAF16,CHAF16,,
JK,JK SMUR16,SMUR16,,
LI,LI SMUR16,SMUR16,,
NG,NG SMUR16,SMUR16,,
OF,OF SMUR16,SMUR16,,
PE,PE SMUR16,SMUR16,,
QD,QD SSAP16,SSAP16,,
RC,RC SSAP16,SSAP16,,
UZ,UZ SSAP16,SSAP16,,
WX,WX SSAP16,SSAP16,,
XW,XW SEPG16,SEPG16,,
YV,YV SEPG16,SEPG16,,
ZU,ZU SEPG16,SEPG16,M,M
AS,AS FOWA16,FOWA16,,
BR,BR FOWA16,FOWA16,,
CQ,CQ FOWA16,FOWA16,,
DP,DP YESR16,YESR16,,
EO,EO YESR16,YESR16,,
FN,FN YESR16,YESR16,,
GM,GM YESR16,YESR16,,
HL,HL LANG16,LANG16,,
JJ,JJ LANG16,LANG16,,
KI,KI LANG16,LANG16,,
LH,LH LANG16,LANG16,,
OR-BS,OR-BS WICT16,WICT16,,
UX,UX DWEL16,DWEL16,,
VW,VW DWEL16,DWEL16,,
WV,WV DWEL16,DWEL16,,
MG,MG THOR16,THOR16,,
NF,NF THOR16,THOR16,,
OE,OE THOR16,THOR16,M,M
PD,PD THOR16,THOR16,,
QC,QC DBAR16,DBAR16,,
RB,RB DBAR16,DBAR16,,
SA,SA DBAR16,DBAR16,,
TZ,TZ BYWY16,BYWY16,,
UY,UY JSUP16,JSUP16,,
WW,WW JSUP16,JSUP16,,
VX,VX JSUP16,JSUP16,,
XV,XV JSUP16,JSUP16,,
YU,YU BIRN16,BIRN16,M,
ZT,ZT BIRN16,BIRN16,,
HH-OS,HH-OS BIRN16,BIRN16,,
AR,AR WILG16,WILG16,,
BQ,BQ WILG16,WILG16,,
CP,CP WILG16,WILG16,,
DO,DO DOGS16,DOGS16,,
EN,EN DOGS16,DOGS16,,
FM,FM DOGS16,DOGS16,,
GL,GL DOGS16,DOGS16,,
HK,HK WICT16,WICT16,,
IJ,IJ HICI16,HICI16,,
JI,JI HICI16,HICI16,,
KH,KH HICI16,HICI16,,
LG,LG HICI16,HICI16,,
MF,MF WAWD16,WAWD16,,
NE,NE WAWD16,WAWD16,,
OD,OD WAWD16,WAWD16,,
PC,PC WAWD16,WAWD16,,
QB,QB WAWD16,WAWD16,,
SZ,SZ NBUR16,NBUR16,,
TY,TY NBUR16,NBUR16,,
UX,UX DWEL16,DWEL16,,
VW,VW DWEL16,DWEL16,,
WV,WV DWEL16,DWEL16,,
XU,XU DART16,DART16,,
YT,YT DART16,DART16,,
ZS,ZS DART16,DART16,,
BP,BP DART16,DART16,,
CO,CO YFER16,YFER16,,
DN,DN YFER16,YFER16,,
EM,EM YFER16,YFER16,,
FL,FL YETH16,YETH16,,
HJ,HJ YETH16,YETH16,,
II,II YETH16,YETH16,,
JH,JH YETH16,YETH16,,
ND,ND LAPT16,LAPT16,,
