"","Year","Name","NestName","ID","FieldAge","CalcAge","HatchDateJul","HatchDateJulYear","AllSex","BNT","BW","BD","TEC","Head","UB","UBS","TBS","Skull","Tarsus","Weight","Date","MaxTempMean1_11","MaxTempMean12_22","MeanMaxTempIncubation","MinTempMean1_11","MinTempMean12_22","MeanMinTempIncubation","PrecipSum1_11","PrecipSum12_22","PrecipSumIncubation","GDDSum1_11","GDDSum12_22","GDDSumIncubation","CDDSum1_11","CDDSum12_22","CDDSumIncubation","HDDSum1_11","HDDSum12_22","HDDSumIncubation"
"50",1990,"OK","CEME90","OK CEME90",28,28,125,1990125,"",21.3,12,12.3,33.8,72,12.5,153.75,205.335,38.2,53.8,235,"5/5/1990",17.0707070707071,17.2727272727273,19.3567251461988,6.16161616161616,7.97979797979798,6.08187134502924,5.5372,4.9022,4.2418,51,60,137,4,0,23,135,110,211
"51",1990,"PJ","CEME90","PJ CEME90",28,28,125,1990125,"",21.9,12.1,11.6,33.7,72.5,11.8,136.88,199.6725,38.8,53,280,"5/5/1990",17.0707070707071,17.2727272727273,19.3567251461988,6.16161616161616,7.97979797979798,6.08187134502924,5.5372,4.9022,4.2418,51,60,137,4,0,23,135,110,211
"52",1991,"AV","FALC91","AV FALC91",28,26,101,1991101,"",19.7,13.9,12.1,31.4,73,11.7,141.57,204.1,41.6,59.2,371,"4/11/1991",11.6666666666667,18.030303030303,13.3333333333333,1.71717171717172,5.2020202020202,2.77777777777778,1.6256,4.953,6.5024,0,65,77,0,0,8,228,130,354
"53",1991,"BU","FALC91","BU FALC91",28,26.2,101,1991101,"",21.9,15.7,13.4,33.6,76,11.7,156.78,244.44,42.4,59.5,378,"4/11/1991",11.6666666666667,18.030303030303,13.3333333333333,1.71717171717172,5.2020202020202,2.77777777777778,1.6256,4.953,6.5024,0,65,77,0,0,8,228,130,354
"54",1991,"GR","FRNO91","GR FRNO91",28,26.5,105,1991105,"",20.8,13.9,13.4,33.2,73.4,12.4,166.16,226.59,40.2,57.9,343,"4/15/1991",12.0707070707071,19.040404040404,13.8304093567251,2.37373737373737,5.45454545454546,2.39766081871345,5.3848,1.1938,5.2832,3,69,77,0,0,8,217,118,353
"55",1991,"IP","FRNO91","IP FRNO91",28,26.6,105,1991105,"",23.3,14.3,14.4,36,77.5,12.7,182.88,258.3,41.5,59.4,390,"4/15/1991",12.0707070707071,19.040404040404,13.8304093567251,2.37373737373737,5.45454545454546,2.39766081871345,5.3848,1.1938,5.2832,3,69,77,0,0,8,217,118,353
"56",1991,"JO","FRNO91","JO FRNO91",28,25.4,105,1991105,"",21.6,14.7,12.8,33.5,71.1,11.9,152.32,230.3125,37.6,57.4,390,"4/15/1991",12.0707070707071,19.040404040404,13.8304093567251,2.37373737373737,5.45454545454546,2.39766081871345,5.3848,1.1938,5.2832,3,69,77,0,0,8,217,118,353
"57",1991,"KN","FRNO91","KN FRNO91",28,25.2,105,1991105,"",21.1,13.2,12.1,31.8,70.9,10.7,129.47,201.135,39.1,52.4,295,"4/15/1991",12.0707070707071,19.040404040404,13.8304093567251,2.37373737373737,5.45454545454546,2.39766081871345,5.3848,1.1938,5.2832,3,69,77,0,0,8,217,118,353
"58",1991,"CV","HART91","CV HART91",27,27.1,106,1991106,"",23,13.7,14.4,35.3,76.7,12.3,177.12,247.9825,41.4,59.5,400,"4/16/1991",12.3232323232323,19.2424242424242,13.5672514619883,2.17171717171717,6.11111111111111,2.30994152046784,4.6736,2.159,4.1148,3,76,74,0,0,8,217,109,359
"59",1991,"DU","HART91","DU HART91",27,26.3,106,1991106,"M",21.1,12.2,12.5,33,75.1,11.9,148.75,203.775,42.1,56,335,"4/16/1991",12.3232323232323,19.2424242424242,13.5672514619883,2.17171717171717,6.11111111111111,2.30994152046784,4.6736,2.159,4.1148,3,76,74,0,0,8,217,109,359
"60",1991,"ET","HART91","ET HART91",27,26.3,106,1991106,"M",20.9,14.4,14.7,35.1,75,14.2,208.74,255.3525,39.9,57.8,385,"4/16/1991",12.3232323232323,19.2424242424242,13.5672514619883,2.17171717171717,6.11111111111111,2.30994152046784,4.6736,2.159,4.1148,3,76,74,0,0,8,217,109,359
"61",1991,"FS","HART91","FS HART91",27,25.8,106,1991106,"M",21.9,14.3,13,35.6,75.9,13.7,178.1,242.97,40.3,58,325,"4/16/1991",12.3232323232323,19.2424242424242,13.5672514619883,2.17171717171717,6.11111111111111,2.30994152046784,4.6736,2.159,4.1148,3,76,74,0,0,8,217,109,359
"62",1991,"OJ","ELWO91","OJ ELWO91",28,27.4,108,1991108,"",22,14,13.7,35.5,76.9,13.5,184.95,245.8375,41.4,60.3,367,"4/18/1991",13.8888888888889,17.6262626262626,14.1228070175439,2.97979797979798,5.45454545454546,2.66081871345029,4.5212,2.159,4.0894,22,57,74,0,0,8,193,131,344
"63",1991,"QH","ELWO91","QH ELWO91",28,26.7,108,1991108,"",22.2,13.2,13.8,35,76.4,12.8,176.64,236.25,41.4,58.6,330,"4/18/1991",13.8888888888889,17.6262626262626,14.1228070175439,2.97979797979798,5.45454545454546,2.66081871345029,4.5212,2.159,4.0894,22,57,74,0,0,8,193,131,344
"64",1991,"RG","WHIT91","RG WHIT91",28,26.5,109,1991109,"",22.4,14,13.4,33.9,75.5,11.5,154.1,232.215,41.6,52.9,320,"4/19/1991",14.6969696969697,16.7676767676768,14.5906432748538,3.68686868686869,5.25252525252525,3.18713450292398,4.5212,2.5654,4.0894,33,46,74,0,0,8,178,142,327
"65",1991,"SF","WHIT91","SF WHIT91",28,28,109,1991109,"",26.2,14.1,14.5,39.1,84.4,12.9,187.05,279.565,45.3,60.4,450,"4/19/1991",14.6969696969697,16.7676767676768,14.5906432748538,3.68686868686869,5.25252525252525,3.18713450292398,4.5212,2.5654,4.0894,33,46,74,0,0,8,178,142,327
"66",1991,"TE","WHIT91","TE WHIT91",28,28,109,1991109,"M",24.8,16.1,14.8,37.7,81.3,12.9,190.92,291.2325,43.6,59.1,435,"4/19/1991",14.6969696969697,16.7676767676768,14.5906432748538,3.68686868686869,5.25252525252525,3.18713450292398,4.5212,2.5654,4.0894,33,46,74,0,0,8,178,142,327
"67",1991,"LM","LOWL91","LM LOWL91",24,25.7,111,1991111,"",23.2,14.8,13.5,35.3,76.6,12.1,163.35,249.7475,41.3,61.9,410,"4/21/1991",16.2626262626263,16.8181818181818,15.0292397660819,4.8989898989899,4.7979797979798,3.71345029239766,5.6388,1.4224,4.3688,54,41,74,0,0,8,150,147,310
"68",1991,"ML","LOWL91","ML LOWL91",24,25.5,111,1991111,"F",22.3,14.6,15.4,35.6,74.8,13.3,204.82,267,39.2,60.5,367,"4/21/1991",16.2626262626263,16.8181818181818,15.0292397660819,4.8989898989899,4.7979797979798,3.71345029239766,5.6388,1.4224,4.3688,54,41,74,0,0,8,150,147,310
"69",1991,"NK","LOWL91","NK LOWL91",24,25.4,111,1991111,"",23.5,14.9,15.1,36.6,77.9,13.1,197.81,274.5,41.3,61.8,390,"4/21/1991",16.2626262626263,16.8181818181818,15.0292397660819,4.8989898989899,4.7979797979798,3.71345029239766,5.6388,1.4224,4.3688,54,41,74,0,0,8,150,147,310
"70",1991,"YZ","TRIQ91","YZ TRIQ91",29,29,111,1991111,"",26,15.3,14.5,38.5,83.8,12.5,181.25,286.825,45.3,60.8,417,"4/21/1991",16.2626262626263,16.8181818181818,15.0292397660819,4.8989898989899,4.7979797979798,3.71345029239766,5.6388,1.4224,4.3688,54,41,74,0,0,8,150,147,310
"71",1991,"ZY","TRIQ91","ZY TRIQ91",29,29,111,1991111,"",24.7,13,13.8,35.4,79.7,10.7,147.66,237.18,44.3,57.6,372,"4/21/1991",16.2626262626263,16.8181818181818,15.0292397660819,4.8989898989899,4.7979797979798,3.71345029239766,5.6388,1.4224,4.3688,54,41,74,0,0,8,150,147,310
"72",1991,"ES","SECE91","ES SECE91",30,28.2,111,1991111,"",26.1,14.5,14,38.1,82.1,12,168,271.4625,44,59.5,420,"4/21/1991",16.2626262626263,16.8181818181818,15.0292397660819,4.8989898989899,4.7979797979798,3.71345029239766,5.6388,1.4224,4.3688,54,41,74,0,0,8,150,147,310
"73",1991,"FR","SECE91","FR SECE91",30,28.3,111,1991111,"",25.7,15.9,14.8,39,83,13.3,196.84,299.325,44,61.7,425,"4/21/1991",16.2626262626263,16.8181818181818,15.0292397660819,4.8989898989899,4.7979797979798,3.71345029239766,5.6388,1.4224,4.3688,54,41,74,0,0,8,150,147,310
"74",1991,"GQ","SECE91","GQ SECE91",30,28.9,111,1991111,"",23.5,15.4,14.3,35.2,77.4,11.7,167.31,261.36,42.2,57.7,375,"4/21/1991",16.2626262626263,16.8181818181818,15.0292397660819,4.8989898989899,4.7979797979798,3.71345029239766,5.6388,1.4224,4.3688,54,41,74,0,0,8,150,147,310
"75",1991,"XA","OVRL91","XA OVRL91",28,26.5,112,1991112,"",21.6,16.1,13,34.8,73.2,13.2,171.6,253.17,38.4,55.5,295,"4/22/1991",18.030303030303,17.0707070707071,15.0584795321637,5.2020202020202,5.05050505050505,3.94736842105263,4.953,1.3716,7.874,65,46,74,0,1,8,130,143,305
"76",1991,"AW","BROT91","AW BROT91",28,28,112,1991112,"",22.7,14.1,13.1,35.4,77.4,12.7,166.37,240.72,42,60.1,365,"4/22/1991",18.030303030303,17.0707070707071,15.0584795321637,5.2020202020202,5.05050505050505,3.94736842105263,4.953,1.3716,7.874,65,46,74,0,1,8,130,143,305
"77",1991,"BV","BROT91","BV BROT91",28,28,112,1991112,"",24,15,12.9,37,79.2,13,167.7,258.075,42.2,60.4,360,"4/22/1991",18.030303030303,17.0707070707071,15.0584795321637,5.2020202020202,5.05050505050505,3.94736842105263,4.953,1.3716,7.874,65,46,74,0,1,8,130,143,305
