Year,Name,NestName,ID,MeasurementDate,MeasurementDateJulYear,FieldAge,CalcAge,CalcAgeInteger,HatchDateJulYear,Sex,BNT,TEC,BW,BD,Head,UB,UBS,TBS,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,Condition
1992,EP,BROT92,EP BROT92,5/12/1992,1992133,24,24.9,25,1992108,,21.5,33.4,14,13.6,72.2,11.9,161.84,230.46,38.8,61.2,144,84,40,380,0.12
1992,BR,BUFA92,BR BUFA92,5/21/1992,1992142,25,24.6,25,1992117,,19.8,29,12.7,11.9,70.7,9.2,109.48,178.35,41.7,55.5,132,77,33,308,0.12
1992,TX,BUFA92,TX BUFA92,5/21/1992,1992142,25,25.2,25,1992117,,20.9,31.1,12.2,11.6,71.4,10.2,118.32,185.045,40.3,57.6,147,90,47,328,0.12
1992,YV,BUFA92,YV BUFA92,5/21/1992,1992142,25,26.2,26,1992116,,22.9,34.2,12.6,12.7,76.7,11.3,143.51,216.315,42.5,61.2,174,113,59,425,0.12
1992,ZU,BUFA92,ZU BUFA92,5/21/1992,1992142,25,25.2,25,1992117,,20.6,31.8,12.5,12,72.1,11.2,134.4,194.775,40.3,54.6,149,95,42,338,0.13
1992,FO,BYWY92,FO BYWY92,5/12/1992,1992133,23,25.6,26,1992107,,21.4,32.4,12.9,12.6,70.6,11,138.6,206.55,38.2,57.4,155,102,53,340,0.12
1992,GN,BYWY92,GN BYWY92,5/12/1992,1992133,23,25.6,26,1992107,,19.5,32.2,11.9,11.7,69,12.7,148.59,189.98,36.8,54.3,147,101,52,315,0.13
1992,AT,CUHA92,AT CUHA92,5/11/1992,1992132,28,27.7,28,1992104,,23.2,36.4,12.4,12.7,78.7,13.2,167.64,228.41,42.3,61.4,193,134,82,370,0.12
1992,BS,CUHA92,BS CUHA92,5/11/1992,1992132,28,26.1,26,1992106,,21.7,35.8,13.2,12.2,75.7,14.1,172.02,227.33,39.9,59.1,174,115,55,370,0.12
1992,none,CUHA92,none CUHA92,5/11/1992,1992132,28,25.9,26,1992106,,21.8,34.6,14.3,12.9,75.6,12.8,165.12,235.28,41,58,160,113,52,315,0.12
1992,LG,GENR92,LG GENR92,5/27/1992,1992148,29,29,29,1992119,,23.2,35.2,12.4,12.5,77.4,12,150,219.12,42.2,58.2,184,122,72,347,0.12
1992,MF,GENR92,MF GENR92,5/27/1992,1992148,29,29,29,1992119,,23.7,37.3,12.6,13.3,79.6,13.6,180.88,241.5175,42.3,60.6,190,123,69,398,0.12
1992,NE,GENR92,NE GENR92,5/27/1992,1992148,29,29,29,1992119,,23.8,36.6,12.6,12.6,78.7,12.8,161.28,230.58,42.1,57.1,205,129,88,380,0.13
1992,OD,GENR92,OD GENR92,5/27/1992,1992148,29,29,29,1992119,,24.4,36.9,12.6,12.8,78.5,12.5,160,234.315,41.6,56.9,196,128,77,355,0.12
1992,PC,GENR92,PC GENR92,5/27/1992,1992148,29,29,29,1992119,F,23.4,35.2,12.7,13,76.6,11.8,153.4,226.16,41.4,57.9,198,133,87,400,0.13
1992,QB,GENR92,QB GENR92,5/27/1992,1992148,29,29,29,1992119,,24,36.4,13.1,13,79,12.4,161.2,237.51,42.6,59.1,205,146,89,390,0.12
