Obs,Year,Month,Day,Name,NestName,ID,BandNumber,BandDate,BandDateJul,MeasurementDate,MeasurementDateJulYear,MeasurementDateJul,AgeField,CalcAge,CalcAgeInteger,HatchDate,HatchDateJul,HatchDateJulYear,AllSex,BillNT,TEC,BillWidth,BillDepth,Head,UpperBill,UBillSurface,TotBillSurface,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,Condition,MaxTempMean1_11,MaxTempMean12_22,MaxTempMeanIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSumIncubation,GDDSum1_11,GDDSum12_22,GDDSumIncubation,CDDSum1_11,CDDSum12_22,CDDSumIncubation
48,1990,5,5,OK,CEME90,OK CEME90,695-20461,5/29/1990,149,5/29/1990,1990149,149,24,24,24,5/5/1990,125,1990125,,20.3,31.6,12.4,12.2,69.9,11.3,137.86,194.34,38.3,52.2,131,74,30,215,0.11,62.72727273,63.09090909,66.84210526,2.18,1.93,1.67,51,60,137,4,0,23
49,1990,5,5,PJ,CEME90,PJ CEME90,695-20462,5/29/1990,149,5/29/1990,1990149,149,24,24,24,5/5/1990,125,1990125,,20.4,30.7,12,11,69.3,10.3,113.3,176.525,38.6,53.5,117,68,22,237,0.12,62.72727273,63.09090909,66.84210526,2.18,1.93,1.67,51,60,137,4,0,23
50,1990,5,5,NL,CEME90,NL CEME90,695-20460,6/2/1990,153,6/2/1990,1990153,153,28,28,28,5/5/1990,125,1990125,,19.4,30.5,11.8,11,70.2,11.1,122.1,173.85,39.7,51,131,82,34,230,0.12,62.72727273,63.09090909,66.84210526,2.18,1.93,1.67,51,60,137,4,0,23
51,1990,5,5,OK,CEME90,OK CEME90,695-20461,6/2/1990,153,6/2/1990,1990153,153,28,28,28,5/5/1990,125,1990125,,21.3,33.8,12,12.3,72,12.5,153.75,205.335,38.2,53.8,150,92,42,235,0.11,62.72727273,63.09090909,66.84210526,2.18,1.93,1.67,51,60,137,4,0,23
52,1990,5,5,PJ,CEME90,PJ CEME90,695-20462,6/2/1990,153,6/2/1990,1990153,153,28,28,28,5/5/1990,125,1990125,,21.9,33.7,12.1,11.6,72.5,11.8,136.88,199.6725,38.8,53,143,92,35,280,0.12,62.72727273,63.09090909,66.84210526,2.18,1.93,1.67,51,60,137,4,0,23
53,1991,4,11,AV,FALC91,AV FALC91,695-20466,5/9/1991,129,5/9/1991,1991129,129,28,26,26,4/11/1991,101,1991101,,19.7,31.4,13.9,12.1,73,11.7,141.57,204.1,41.6,59.2,158,106,60,371,0.12,53,64.45454545,56,0.64,1.95,2.56,0,65,77,0,0,8
54,1991,4,11,BU,FALC91,BU FALC91,695-20467,5/9/1991,129,5/9/1991,1991129,129,28,26.2,26,4/11/1991,101,1991101,,21.9,33.6,15.7,13.4,76,11.7,156.78,244.44,42.4,59.5,165,110,64,378,0.12,53,64.45454545,56,0.64,1.95,2.56,0,65,77,0,0,8
55,1991,4,16,CV,HART91,CV HART91,695-20468,5/13/1991,133,5/13/1991,1991133,133,27,27.1,27,4/16/1991,106,1991106,,23,35.3,13.7,14.4,76.7,12.3,177.12,247.9825,41.4,59.5,180,127,74,400,0.12,54.18181818,66.63636364,56.42105263,1.84,0.85,1.62,3,76,74,0,0,8
56,1991,4,16,DU,HART91,DU HART91,695-20469,5/13/1991,133,5/13/1991,1991133,133,27,26.3,26,4/16/1991,106,1991106,M,21.1,33,12.2,12.5,75.1,11.9,148.75,203.775,42.1,56,167,116,60,335,0.12,54.18181818,66.63636364,56.42105263,1.84,0.85,1.62,3,76,74,0,0,8
57,1991,4,16,ET,HART91,ET HART91,695-20470,5/13/1991,133,5/13/1991,1991133,133,27,26.3,26,4/16/1991,106,1991106,M,20.9,35.1,14.4,14.7,75,14.2,208.74,255.3525,39.9,57.8,163,119,57,385,0.13,54.18181818,66.63636364,56.42105263,1.84,0.85,1.62,3,76,74,0,0,8
