Year,Name,NestName,ID,Sex,MeasurementDate,MeasurementDateJulYear,HatchDate,HatchDateJulYear,FieldAge,CalcAgeInteger,CalcAge,BNT,TEC,BW,BD,Head,UB,UBS,TBS,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,MaxC1_11,MaxC12_22,MaxCIncubation,MinC1_11,MinC12_22,MinCIncubation,GDD10CSum1_11,GDD10CSum12_22,GDD10CSumIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSumIncubation,MaxC6_19,MinC6_19,GDD10CSum6_19,PrecipSum6_19,MaxC8_22,MinC8_22,GDD10CSum8_22,PrecipSum8_22
1990,DW,SSAP90,DW SSAP90,U,5/8/1990,1990128,4/13/1990,1990103,25,25,25,20.5,32.4,14.7,12.7,72.3,11.9,151.13,221.94,39.9,58.7,0,79,0,340,11.91919192,23.28282828,6.666666667,1.212121212,8.484848485,-1.783625731,-37.77777778,64.72222222,-143.6111111,1.3208,0.7112,7.7978,20.43650794,6.825396825,50.83333333,2.0066,21.25925926,7.185185185,63.33333333,1.778
1990,KP,STAT90,KP STAT90,U,5/15/1990,1990135,4/18/1990,1990108,28,27,27.1,25.2,38.1,14.5,14.7,82.4,12.9,189.63,278.13,44.3,61.7,NA,125,75,460,19.24242424,18.88888889,8.391812865,5.252525253,7.070707071,0.233918129,24.72222222,32.77777778,-108.0555556,2.0066,2.7432,7.8994,21.9047619,7.777777778,67.77777778,2.9464,21.37037037,8.259259259,72.22222222,3.4544
1990,LO,STAT90,LO STAT90,U,5/15/1990,1990135,4/17/1990,1990107,28,28,27.8,25.1,37.3,14.2,14.4,81.2,12.2,175.68,266.695,43.9,59,NA,135,82,415,17.82828283,19.24242424,8.391812865,4.595959596,7.171717172,0.233918129,13.33333333,35.27777778,-108.0555556,2.0066,2.7432,7.7724,21.66666667,7.698412698,65.55555556,2.9718,20.96296296,7.703703704,65,3.4544
1990,MN,STAT90,MN STAT90,U,5/15/1990,1990135,4/18/1990,1990108,28,27,27.3,23.9,36.4,13.8,13.5,78.1,12.5,168.75,248.43,41.7,58.9,NA,129,77,385,19.24242424,18.88888889,8.391812865,5.252525253,7.070707071,0.233918129,24.72222222,32.77777778,-108.0555556,2.0066,2.7432,7.8994,21.9047619,7.777777778,67.77777778,2.9464,21.37037037,8.259259259,72.22222222,3.4544
1990,NM,STAT90,NM STAT90,U,5/15/1990,1990135,4/18/1990,1990108,28,27,26.5,23.7,37.6,16.7,13.9,79,13.9,193.21,287.64,41.4,59.4,NA,118,64,430,19.24242424,18.88888889,8.391812865,5.252525253,7.070707071,0.233918129,24.72222222,32.77777778,-108.0555556,2.0066,2.7432,7.8994,21.9047619,7.777777778,67.77777778,2.9464,21.37037037,8.259259259,72.22222222,3.4544
1990,EV,WAIT90,EV WAIT90,U,5/11/1990,1990131,4/16/1990,1990106,24,25,24.7,20.6,34.2,11.9,13.5,70.1,13.6,183.6,217.17,35.9,53.7,0,94,0,348,16.51515152,20.70707071,8.011695906,3.838383838,7.474747475,-0.350877193,1.944444444,45,-117.2222222,2.0066,2.6162,7.7724,21.54761905,7.579365079,63.88888889,1.6764,21.37037037,7.37037037,65.55555556,3.3274
1990,GT,WAIT90,GT WAIT90,U,5/11/1990,1990131,4/16/1990,1990106,24,25,24.5,21.5,33,13.1,13.3,73.6,11.5,152.95,217.8,40.6,51.4,0,88,0,328,16.51515152,20.70707071,8.011695906,3.838383838,7.474747475,-0.350877193,1.944444444,45,-117.2222222,2.0066,2.6162,7.7724,21.54761905,7.579365079,63.88888889,1.6764,21.37037037,7.37037037,65.55555556,3.3274
1990,AY,WEGO90,AY WEGO90,U,5/22/1990,1990142,4/27/1990,1990117,25,25,25.2,23,35.2,14.9,14,77.7,12.2,170.8,254.32,42.5,61,160,90,49,447,20.70707071,18.98989899,14.32748538,7.474747475,8.333333333,2.456140351,45,40.27777778,-30.55555556,2.6162,5.1054,4.3434,16.9047619,5.357142857,15.83333333,5.5372,17.92592593,7.444444444,40.27777778,7.7216
1990,BX,WEGO90,BX WEGO90,U,5/22/1990,1990142,4/26/1990,1990116,25,26,25.8,21.8,33.4,13.5,13.2,75.8,11.6,153.12,222.945,42.4,58.2,160,105,54,380,22.02020202,18.03030303,13.04093567,8.383838384,7.626262626,1.666666667,57.22222222,31.11111111,-50.27777778,2.4892,4.8514,4.3942,16.82539683,5.515873016,16.38888889,5.5372,17.18518519,6.703703704,29.16666667,7.0866
1990,YB,WEGO90,YB WEGO90,U,5/22/1990,1990142,4/27/1990,1990117,25,25,25.4,23.3,36,14.3,13.8,78.6,12.7,175.26,252.9,42.6,60.8,153,95,50,440,20.70707071,18.98989899,14.32748538,7.474747475,8.333333333,2.456140351,45,40.27777778,-30.55555556,2.6162,5.1054,4.3434,16.9047619,5.357142857,15.83333333,5.5372,17.92592593,7.444444444,40.27777778,7.7216
1990,ZA,WEGO90,ZA WEGO90,F,5/22/1990,1990142,4/27/1990,1990117,25,25,24.9,21.9,33.1,14,13.4,73,11.2,150.08,226.735,39.9,54.8,139,84,41,380,20.70707071,18.98989899,14.32748538,7.474747475,8.333333333,2.456140351,45,40.27777778,-30.55555556,2.6162,5.1054,4.3434,16.9047619,5.357142857,15.83333333,5.5372,17.92592593,7.444444444,40.27777778,7.7216
1990,IQ,WPAR90,IQ WPAR90,U,5/25/1990,1990145,4/27/1990,1990117,27,28,27.7,23.9,36.7,12.2,12.5,78.3,12.8,160,226.6225,41.6,57,189,132,82,365,20.70707071,18.98989899,14.32748538,7.474747475,8.333333333,2.456140351,45,40.27777778,-30.55555556,2.6162,5.1054,4.3434,16.9047619,5.357142857,15.83333333,5.5372,17.92592593,7.444444444,40.27777778,7.7216
1990,JP,WPAR90,JP WPAR90,U,5/25/1990,1990145,4/29/1990,1990119,27,26,25.5,23.3,36.2,13.7,13.6,76.9,12.9,175.44,247.065,40.7,59.1,166,105,42,325,18.88888889,17.92929293,16.40350877,7.070707071,8.03030303,3.947368421,32.77777778,32.77777778,3.333333333,2.7432,5.3848,4.3434,17.46031746,7.301587302,33.33333333,7.0866,17.55555556,7.518518519,38.05555556,5.8928
1991,AW,BROT91,AW BROT91,U,5/20/1991,1991140,4/23/1991,1991113,28,27,27.3,22.7,35.4,14.1,13.1,77.4,12.7,166.37,240.72,42,60.1,187,129,76,365,18.53535354,18.68686869,14.88304094,5.555555556,5.909090909,4.093567251,22.5,25.27777778,-9.722222222,1.4478,1.397,7.9756,17.77777778,5.595238095,23.61111111,2.5654,19,6.296296296,39.72222222,2.5908
1991,BV,BROT91,BV BROT91,U,5/20/1991,1991140,4/23/1991,1991113,28,27,27.4,24,37,15,12.9,79.2,13,167.7,258.075,42.2,60.4,182,130,78,360,18.53535354,18.68686869,14.88304094,5.555555556,5.909090909,4.093567251,22.5,25.27777778,-9.722222222,1.4478,1.397,7.9756,17.77777778,5.595238095,23.61111111,2.5654,19,6.296296296,39.72222222,2.5908
1991,CU,BROT91,CU BROT91,U,5/20/1991,1991140,4/23/1991,1991113,28,27,26.8,23.3,36.5,15.6,14.2,79.7,13.2,187.44,271.925,43.2,62.4,182,123,69,395,18.53535354,18.68686869,14.88304094,5.555555556,5.909090909,4.093567251,22.5,25.27777778,-9.722222222,1.4478,1.397,7.9756,17.77777778,5.595238095,23.61111111,2.5654,19,6.296296296,39.72222222,2.5908
1991,doa,BURL91,doa BURL91,U,5/23/1991,1991143,4/26/1991,1991116,28,27,27.3,24.9,40,15.2,14.7,82.7,15.1,221.97,299,42.7,63.5,185,129,77,415,19.04040404,22.27272727,14.26900585,5.454545455,8.585858586,3.274853801,24.72222222,59.72222222,-23.33333333,1.1938,1.397,7.8232,19.08730159,6.071428571,36.11111111,1.4478,20,6.962962963,52.22222222,1.397
1991,YY,BURL91,YY BURL91,M,5/23/1991,1991143,4/26/1991,1991116,28,27,27.2,25.8,38.1,14.6,14.9,80.8,12.3,183.27,280.9875,42.7,58.5,186,125,76,355,19.04040404,22.27272727,14.26900585,5.454545455,8.585858586,3.274853801,24.72222222,59.72222222,-23.33333333,1.1938,1.397,7.8232,19.08730159,6.071428571,36.11111111,1.4478,20,6.962962963,52.22222222,1.397
