"HatchDateJulYear","ID","FieldAge","CalcAge","AllSex","BNT","BW","BD","TEC","UB","UBS","TBS","Skull","Tarsus","Weight"
1991117,"XZ HAYT91",26,26.2,"",22.9,14.1,13.6,34.9,12,163.2,241.6825,41.1,59.1,330
1991118,"DS CEME91",26,26,"",24.4,15.2,13.9,38.4,14,194.6,279.36,41.2,60.9,390
1991118,"ER CEME91",26,26,"",24.9,13.9,12.1,36.8,11.9,143.99,239.2,40.4,56,345
1991118,"OH WILG91",NA,25.8,"F",23.5,14.4,14.5,37.3,13.8,200.1,269.4925,41.2,60.8,400
1991118,"PG WILG91",NA,26.6,"M",26.5,14.6,14.9,39.3,12.8,190.72,289.8375,44.5,63.3,435
1991120,"FQ CLOV91",24,26.1,"",23.1,13.4,13.1,35.2,12.1,158.51,233.2,41,56.6,323
1991120,"GP CLOV91",24,25.6,"",21.1,14.5,12.3,31.9,10.8,132.84,213.73,40.3,57.5,282
1991120,"HO CLOV91",24,26.5,"M",24.2,14.6,15.3,37.6,13.4,205.02,281.06,42.9,61,347
1991123,"IN TRUM91",24,24,"",23.7,14.1,14.3,36.8,13.1,187.33,261.28,42.5,65.1,380
1991123,"JM TRUM91",24,24,"",24.8,15.7,13.7,37.8,13,178.1,277.83,42,63.9,380
1991123,"LK TRUM91",24,24,"",24.4,14.8,14.4,36.8,12.4,178.56,268.64,41.8,63.4,368
1991123,"QF SSAP91",25,25,"",23.6,13.7,14.6,38.3,14.7,214.62,270.9725,38.7,58.8,350
1991123,"RE SSAP91",25,25,"",22.6,15.9,13.2,35,12.4,163.68,254.625,41.8,55.4,340
1991123,"SD SSAP91",25,25,"",23.3,15,13.4,36.4,13.1,175.54,258.44,40.4,60.1,360
1991124,"TC WPAR91",25,25,"",21.5,14.6,13.1,33.3,11.8,154.58,230.6025,40.6,59,275
1991124,"UB WPAR91",25,25,"",25,17.4,16,38.1,13.1,209.6,318.135,43,60.7,382
1991124,"VA WINT91",25,25,"M",22,15.1,13.4,34.9,12.9,172.86,248.6625,40.3,59,277
1991124,"WZ WINT91",25,25,"",20.8,13.2,11.7,32.6,11.8,138.06,202.935,38.4,55.3,235
1991124,"XY WINT91",25,25,"F",21.3,13.9,13.7,32.8,11.5,157.55,226.32,40.3,56.8,320
1991128,"AU PAHA91",26,25.8,"",23.2,14.4,13.3,36.4,13.2,175.56,252.07,40.3,60,352
1991128,"YX PAHA91",26,24.1,"",19.2,12.6,11.2,30.6,11.4,127.68,182.07,37.4,51.4,235
1991128,"ZW PAHA91",26,24.9,"",23.6,15.4,13.4,35.6,12,160.8,256.32,41,59.3,340
1991129,"BT TRCH91",25,25,"",23.5,16,14.6,33.3,9.8,143.08,254.745,42.8,60,415
